ZONING,singleFamily,multiFamily,maxHeightFeet,maxHeightStories,minLotSizePerUnitHectares,maxUnitsPerLot,minUnitsPerLot,minLotSizeSqFeet,maxLotSizeHectares,minLotWidthFeet,maxLotWidthMeters,minLotDepthMeters,minFloorAreaPerUnitSqMeters,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerHectare,maxLotCoverage,maxFar,setbackFrontFeet,setbackFrontPercent,setbackSideFeet,setbackSidePercent,setbackRearFeet,setbackRearPercent,demoControls,note
CB,1,1,40,3,,,,5000,,,,,,2,,,,,0,,0,,0,,,
CBD,0,1,35-85,,,,,5000,,,,,,2,,,,,0,0,0,0,0,0,1,
CBD-E,0,1,35,3,,,,,,,,,,2,,,,,10-12,,0,,0,,,
CC,1,c,40,3,,,,5000,,,,,,2,,,,,0,,0,,0,,,
CD/R,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CN,1,c,30,2,,,,5000,,,,,,2,,,,,10,,,,0,,,
CT,c,c,35,3,,,,5000,,,,,,2,,,,,10,,,,0,,,
EA-20,c,0,50,3,,,,871200,,,,,,2,,,,,50,,25,,50,,,
FP,c,0,35,2,,,,217800,,,,,,2,,,,,,,,,,,,
IG,0,c,50,,,,,20000,,,,,,2,,,,,20,,10,,10,,,
IG/PER,0,c,65,4,,,,348480,,,,,,2,,,,,20,,10,,10,,,
IG/PER2,0,c,50,,,,,20000,,,,,,,,,,,,,,,,,,
OFR,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PA,1,c,25,2,,,,5000,,,,,,2,,,,,10,,10,,5,,,
PF,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PF/PK,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PK,0,0,,,,,,,,,,,,,,,,,,,,,,,,
PK/PF,0,0,,,,,,,,,,,,,,,,,,,,,,,,
R-1-10,1,0,30,2.5,,,,10000,,,,,,2,,,,,25,,10,,30,,,
R-1-5,1,0,30,2.5,,,,5000,,,,,,2,,,,,20,,5,,20,,,
R-1-7,1,0,30,2.5,,,,7000,,,,,,2,,,,,20,,7,,25,,,
RH,1,1,48,,,,,5000,,,,,,2,,,,,15,,5,,10,,,
RL,1,1,30,,,2,,5000,,50,,,,2,,,,,10,,5-10,,10,,,
RM,0,1,30,,,,,2200,,50,,,,2,,,,,15,,5-10,,10,,,
RS-10A,1,0,30,2,,,,,,250,,,,2,,,,,40,,25,,30,,,
RS-1A,1,0,30,2,,,,,,100,,,,2,,,,,40,,15,,30,,,
RS-2A,1,0,30,2,,,,,,150,,,,2,,,,,40,,20,,30,,,
RS-5A,1,0,30,2,,,,,,200,,,,2,,,,,40,,20,,30,,,
RTA,c,1,30-36,,,,,5000-8000,,50-65,,,,2,,,,,15,,10-17,,10-12,,,
RTB,c,c,30-36,,,,,5000-8000,,50-65,,,,2,,,,,15,,10-17,,10-12,,,
RTC,c,c,30-36,,,,,5000-8000,,50-65,,,,2,,,,,,,,,,,,
RTD,1,c,22-30,,,,,3000-8000,,40-80,,,,2,,,,,5-10,,0-10,,10-15,,,
RTE,c,c,22-36,,,,,3400-10200,,40-80,,,,2,,,,,5-10,,3-5,,10,,,
