"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-04 22:08:57 PST,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,Los Angeles,# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,
data,http://geohub.lacity.org/datasets/49ad06a6b8c945debbbea865b1832ee2_0,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,
year,2018,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,
code,http://planning.lacity.org/,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,
column,ZONE_CLASS,# Name of column where zone designator is stored,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,
ZONE_CLASS,singleFamily,multiFamily,maxHeightFeet,minLotSizePerUnitSqFt,maxUnitsPerLot,minLotSizeSqFt,minLotWidthFeet,maxLotSizeSqFt,maxLotWidthFeet,minLotDepthFeet,minFloorAreaPerUnitFeet,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerSqFt,maxLotCoverage,maxFar,setbackFrontFeet,setbackFrontPercent,setbackSideFeet,setbackSidePercent,setbackRearFeet,setbackRearPercent,note
(WC)COLLEGE,,,,,,,,,,,,,,,,,,,,,,,
(WC)COMMERCE,,,,,,,,,,,,,,,,,,,,,,,
(WC)DOWNTOWN,,,,,,,,,,,,,,,,,,,,,,,
(WC)NORTHVILLAGE,,,,,,,,,,,,,,,,,,,,,,,
(WC)PARK,,,,,,,,,,,,,,,,,,,,,,,
(WC)UPTOWN,,,,,,,,,,,,,,,,,,,,,,,
A1,1,0,45,108900,1,217800,,,,,,2,,,,,0-25,20,0-25,10,0-25,25,
A2,1,0,45,43560,1,87120,,,,,,2,,,,,0-25,20,0-25,10,0-225,25,
ADP,0,0,,,,,,,,,,,,,,,,,,,,,
C1,1,1,75,800,,5000,60,,,,,1-2,,,,,10,,,10,15-20,,uses R3 density, lot size for Res
C1.5,1,1,75,400,,5000,70,,,,,1-2,,,,,10,,,10,15-20,,uses R4 density, lot size for Res
C2,1,1,75,400,,5000,70,,,,,1-2,,,,,0,,0-16,10,15-20,,uses R4 density, lot size for Res
C2(PV),1,1,75,400,,5000,70,,,,,1-2,,,,,0,,0-16,10,15-20,,uses R4 density, lot size for Res
C4,1,1,75,400,,5000,70,,,,,1-2,,,,,0,,0-16,10,15-20,,uses R4 density, lot size for Res
CEC,,,,,,,,,,,,,,,,,,,,,,,Not in any source data?
CM,1,1,75,800,,5000,,,,,,1-2,,,,,45,,5-10,10,,,uses R3 density, lot size for Res
CM(GM),0,0,,,,,,,,,,,,,,,,,,,,,"Glencoe/Maxwella Specific Plan, no housing uses. https://planning.lacity.org/complan/specplan/pdf/GLENCOE.PDF"
CR,1,1,75,,,,50,,,,,2,,,,,10-15,10,10-15,15,15-20,,
CW,,,,,,,,,,,,,,,,,,,,,,,
FRWY,0,0,,,,,,,,,,,,,,,,,,,,,
GW(CA),0,0,,,,,,,,,,,,,,,,,,,,,
