"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-21 10:43:14 MST,,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,Oakland,# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,,
data,https://data.oaklandnet.com/dataset/Zoning/q8sz-29u5,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,,
year,2017,"# The shapefile is from 2012, but the ordinance is from 2017 - so I'm guessing the zone boundaries just haven't changed",,,,,,,,,,,,,,,,,,,,,,,,
code,https://library.municode.com/ca/oakland/codes/planning_code?nodeId=16490,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,,
column,znlabel,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,,,
znlabel,singleFamily,multiFamily,maxHeightFeet,maxHeightStories,minLotSizePerUnitSqFeet,minUnitsPerLot,maxUnitsPerLot,minLotSizeSqFeet,minLotWidthFeet,maxLotWidthFeet,minLotDepthFeet,minFloorAreaPerUnitSqFeet,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerHectare,maxLotCoverage,maxFar,setbackFrontFeet,setbackFrontPercent,setbackSideFeet,setbackSidePercent,setbackRearFeet,setbackRearPercent,demoControls,note,
C-45,1,1,inf,,300,,,4000,25,,,,1,inf,,100,7,0,,0,,0,,,,
CBD-R,0,1,55-inf,,90-300,,,4000,25,,,,0,1.25,,100,4.5-20,0,,0,,10,,,Density and height limits are determined by height and intesity districts we don't have data on,
CBD-P,0,1,55-inf,,90-300,,,4000,25,,,,0,1.25,,100,4.5-20,0,,0,,0,,,Density and height limits are determined by height and intesity districts we don't have data on,
CBD-C,0,1,55-inf,,90-300,,,7500,50,,,,0,1.25,,100,4.5-20,0,,0,,0,,,Density and height limits are determined by height and intesity districts we don't have data on,
CBD-X,0,1,55-inf,,90-300,,,7500,50,,,,0,1.25,,100,4.5-20,0,,0,,0,,,Density and height limits are determined by height and intesity districts we don't have data on,
CC-1,1,1,35-160,3-15,225-550,2,,7500,50,,,,1,inf,,100,inf,0,,0,,10-15,,,Duplexes permitted but not pure single family homes,
CC-2,1,1,35-160,3-15,225-550,2,,4000,25,,,,1,inf,,100,inf,0,,0,,10-15,,,Duplexes permitted but not pure single family homes,
CC-2/D-BR,,,,,,,,,,,,,,,,,,,,,,,,,"Not in code, appears to have been repealed",
CC-3,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CIX-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CIX-1/S-19,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CIX-2,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CIX-2/S-19,0,0,,,,,,,,,,,,,,,,,,,,,,,,
CN-1,1,1,35-90,3-8,225-550,2,,4000,25,,,,1,inf,,,inf,0,,0,,10-15,,,"Duplexes permitted but not pure single family homes; zones in the 35* height area have the same density limit as abutting RH, RD or RM zone",
CN-2,1,1,35-90,3-8,225-550,2,,4000,25,,,,1,inf,,,inf,0,,0,,10-15,,,"Duplexes permitted but not pure single family homes; zones in the 35* height area have the same density limit as abutting RH, RD or RM zone",
CN-3,1,1,35-90,3-8,225-550,2,,4000,25,,,,1,inf,,,inf,0,,0,,10-15,,,"Duplexes permitted but not pure single family homes; zones in the 35* height area have the same density limit as abutting RH, RD or RM zone",
CN-4,1,1,35-90,3-8,225-550,2,,4000,25,,,,1,inf,,,inf,0,,0,,10-15,,,"Duplexes permitted but not pure single family homes; zones in the 35* height area have the same density limit as abutting RH, RD or RM zone",
CR-1,0,0,,,,,,,,,,,,,,,,,,,,,,,,
HBX-1,1,1,35,,1000,,,4000,35,,,,1,inf,,,1.75,0,,0,,10,,,,
HBX-2,1,1,45-55,,930,,,4000,35,,,,1,inf,,,2.5-3,0,,0,,10,,,,
HBX-3,1,1,55,,730,,,4000,35,,,,1,inf,,,2.5,0,,0,,10,,,,
HBX-4,c,c,55,,800,,,4000,35,,,,1,inf,,,2.5,0,,0,,10,,,,
IG,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IG/S-19,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IO,0,0,,,,,,,,,,,,,,,,,,,,,,,,
M-20,0,0,,,,,,,,,,,,,,,,,,,,,,,,
M-30,0,0,,,,,,,,,,,,,,,,,,,,,,,,
