"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-05 13:14:33 MST,,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,"Sacramento, CA",# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,,
data,https://www.cityofsacramento.org/GIS/Data,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,,
year,2017,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,,,,
code,,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,,
column,BASE_ZONE,,,,,,,,,,,,,,,,,,,,,,,,,
column,OVERLAY,,,,,,,,,,,,,,,,,,,,,,,,,
column,SPDNAME,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,# Note that all parking requirements are handled by a postprocessing hook. Any parking requirements added here will be overwritten,,,,,,,,,,,
BASE_ZONE,OVERLAY,SPDNAME,singleFamily,multiFamily,maxHeightFeet,minLotSizePerUnitSqFeet,maxUnitsPerLot,minLotSizeAcres,minLotSizeSqFeet,maxLotSizeSqFeet,minLotWidthFeet,maxLotWidthFeet,minLotDepthFeet,minFloorAreaPerUnitSqFeet,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerAcre,maxLotCoverage,maxFar,setbackFrontFeet,setbackFrontPercent,setbackSideFeet,setbackSidePercent,setbackRearFeet,setbackRearPercent,note
A,,,1,0,50,,1,20,,,,,,,,,,,,50,,25,,50,,Planned unit development may increase density
A,PC,,1,0,50,,1,5,,,,,,,,,,,,20,,10,,15,,
A-OS,SWR-PUD,,C,0,50,,1,20,,,,,,,,,,,,50,,25,,50,,Planned unit development may increase density
ARP-F,,,0,0,,,,,,,,,,,,,,,,,,,,,,
ARP-F,SPD,River District,0,0,,,,,,,,,,,,,,,,,,,,,,
C-2,,,1,1,65,,,,,,,,,,,,,100,,0,,0,,0,,
C-2,SPD,Alhambra Corridor,1,1,65,,,,,,,,,,,,,100,,0,,0,,0,,
C-2,SPD,Broadway/Stockton,1,1,65-75,,,,,,,,,,,,,100,,0,,0,,0,,75 foot height limit on Stockton between Broadway and 2nd Ave
C-2,SPD,River District,1,1,35-250,,,,,,,,,,,,,100,,0,,0,,0,,
C-2,SWR,,1,1,65,,,,,,,,,,,,,100,,0,,0,,0,,
C-2,TO,,1,1,65,,,,,,,,,,,,,,inf,0,,0,,0,,FAR limits struck by ordinance 2017-0061
C-3,SPD,Central Business District,0,1,inf,,,0,,,0,,0,,,,450,,,0,,0,,0,,
