"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-06 23:48:18 MST,,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,"San Francisco, CA",# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,,
data,https://data.sfgov.org/Geographic-Locations-and-Boundaries/Zoning-Districts/8br2-hhp3,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,,
year,2017,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,,,
code,http://library.amlegal.com/nxt/gateway.dll/California/planning/planningcode?f=templates$fn=default.htm$3.0$vid=amlegal:sanfrancisco_ca$sync=1,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,,
column,zoning,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,SPECIAL_USE_DISTRICTS,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,,
column,height,,,,,,,,,,,,,,,,,,,,,,,,
column,gen_hght,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,,
// San Francisco Height and Bulk Districts,,,,,,,,,,,,,,,,,,,,,,,,,
height,maxHeightFeet,,,,,,,,,,,,,,,,,,,,,,,,
20-X,20,,,,,,,,,,,,,,,,,,,,,,,,
25-X,25,,,,,,,,,,,,,,,,,,,,,,,,
26-40-X,26,,,,,,,,,,,,,,,,,,,,,,,,
26-X,26,,,,,,,,,,,,,,,,,,,,,,,,
28-X,28,,,,,,,,,,,,,,,,,,,,,,,,
30-X,30,,,,,,,,,,,,,,,,,,,,,,,,
32-X,32,,,,,,,,,,,,,,,,,,,,,,,,
35-X,35,,,,,,,,,,,,,,,,,,,,,,,,
40-X/50-X,40,,,,,,,,,,,,,,,,,,,,,,,,
40-X/60-X,40,,,,,,,,,,,,,,,,,,,,,,,,
40-X,40,,,,,,,,,,,,,,,,,,,,,,,,
40-OS-PM,40,,,,,,,,,,,,,,,,,,,,,,,,
45-X,45,,,,,,,,,,,,,,,,,,,,,,,,
45-PM,45,,,,,,,,,,,,,,,,,,,,,,,,
48-X,48,,,,,,,,,,,,,,,,,,,,,,,,
50-X,50,,,,,,,,,,,,,,,,,,,,,,,,
50-N,50,,,,,,,,,,,,,,,,,,,,,,,,
50-R-2,50,,,,,,,,,,,,,,,,,,,,,,,,
40-X-55-X,55,,,,,,,,,,,,,,,,,,,,,,,,
55-X,55,,,,,,,,,,,,,,,,,,,,,,,,
50/55-X,55,,,,,,,,,,,,,,,,,,,,,,,,
40/55-X,55,,,,,,,,,,,,,,,,,,,,,,,,
56-X,56,,,,,,,,,,,,,,,,,,,,,,,,
57-X,57,,,,,,,,,,,,,,,,,,,,,,,,
58-X,58,,,,,,,,,,,,,,,,,,,,,,,,
60-X,60,,,,,,,,,,,,,,,,,,,,,,,,
62-B,62,,,,,,,,,,,,,,,,,,,,,,,,
65-A-1,65,,,,,,,,,,,,,,,,,,,,,,,,
