"// This is a spec file to parse zoning, generated by the autogeneration tool",,,,,,,,,,,,,,,,,,,,,,,,
"// Any line with a first cell starting with // will be ignored, as will any cell starting with #, and any blank row",,,,,,,,,,,,,,,,,,,,,,,,
// Generated: 2018-02-14 11:29:40 MST,,,,,,,,,,,,,,,,,,,,,,,,
jurisdiction,San José,# Jurisdiction represented by this zoning,,,,,,,,,,,,,,,,,,,,,,
data,http://www.sanjoseca.gov/index.aspx?NID=3308,"# URL for the data (not a direct download link, but the page describing the data)",,,,,,,,,,,,,,,,,,,,,,
year,,# Year the data was generated,,,,,,,,,,,,,,,,,,,,,,
code,https://library.municode.com/ca/san_jose/codes/code_of_ordinances?nodeId=TIT20ZO,# URL of the zoning code used to fill out this file,,,,,,,,,,,,,,,,,,,,,,
column,ZONINGABBR,# Columns specifying unique zones,,,,,,,,,,,,,,,,,,,,,,
column,PDUSE,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
// Each table below contains one component of the zone designator,,,,,,,,,,,,,,,,,,,,,,,,
"// They will be applied in order, so information from later tables will override information from previous tables",,,,,,,,,,,,,,,,,,,,,,,,
"// These are the canonical forms of variables. Anything ending in meters can also be expressed in feet, hectares can",,,,,,,,,,,,,,,,,,,,,,,,
"// also be expressed in acres or square feet, and minLotSizePerUnit{Hectares|Acres|SqFt} will be",,,,,,,,,,,,,,,,,,,,,,,,
"// converted to maxUnitsPerHectare, by simply changing the variable names",,,,,,,,,,,,,,,,,,,,,,,,
ZONINGABBR,singleFamily,multiFamily,maxHeightFeet,minLotSizePerUnitAcres,maxUnitsPerLot,minLotSizeAcres,minLotSizeSqFeet,maxLotSizeAcres,minLotWidthMeters,maxLotWidthMeters,minLotDepthMeters,minFloorAreaPerUnitSqMeters,minParkingPerUnit,maxParkingPerUnit,maxUnitsPerAcre,maxLotCoverage,maxFar,setbackFrontFeet,setbackFrontPercent,setbackSideFeet,setbackSidePercent,setbackRearFeet,setbackRearPercent,note
A,c,0,35,,,20,,,,,,,2,,,,0.8,50,,50,,50,,
CO,0,0,,,,,6000,,,,,,,,,,,,,,,,,
CP,0,c,50,,,,6000,,,,,,1.7,,,,,0,,0,,25,,"Residential must be mixed use; lot size, setbacks, and parking may be adjusted in Urban Village plans"
CN,0,c,50,,,,6000,,,,,,1.7,,,,,10,,0,,0,,Residential must be mixed use
CG,0,c,65,,,0-1,,,,,,,1.7,,,,,15,,0,,0,,Residential must be mixed use
DC,0,1,# As established by FAR Part 77,,,,,,,,,,1,# Downtown is special and has its own parking requirements in Section 20.70,,,,0,,0,,0,,
HI,0,0,,,,,,,,,,,,,,,,,,,,,,
IP,0,0,,,,,,,,,,,,,,,,,,,,,,
LI,0,0,,,,,,,,,,,,,,,,,,,,,,
R-1-1,1,0,35,,1,,43560,,,,,,2,,8,,,30,,20,,25,,
R-1-2,1,0,35,,1,,20000,,,,,,2,,8,,,30,,15,,25,,
R-1-5,1,0,35,,1,,8000,,,,,,2,,8,,,20,,5,,20,,
R-1-8,1,0,35,,1,,5445,,,,,,2,,8,,,20,,5,,20,,
R-1-8(CL),,,,,,,,,,,,,,,,,,,,,,,,Not clear what a CL zone is from code
R-1-RR,1,0,35,,1,5,,,,,,,2,,8,,,50,,20,,30,,
R-2,1,0,35,,1,,5445,,,,,,2,,16,,,15,,5,,25,,
R-M,1,1,35,,,,6000,,,,,,1.7,,,,,10,,5,,25,,
R-M(CL),,,,,,,,,,,,,,,,,,,,,,,,Not clear what a CL zone is from code
R-MH,c,0,45,,1,,6000,,,,,,2,,,,,15,,5,,25,,Height limit may be higher in special height zones
WATER,0,0,# https://en.wikipedia.org/wiki/King_Canute_and_the_tide,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
// PDs,,,,,,,,,,,,,,,,,,,,,,,,
"// We don't have data on most attributes for PDs, but we do know the density and whether they allow residential",,,,,,,,,,,,,,,,,,,,,,,,
// PD Density is handled by an after hook,,,,,,,,,,,,,,,,,,,,,,,,
PDUSE,singleFamily,multiFamily,,,,,,,,,,,,,,,,,,,,,,
Res,c,c,"# multifamily may be permitted here, e.g. 
villatorinoapts.com",,,,,,,,,,,,,,,,,,,,,
Com,0,0,,,,,,,,,,,,,,,,,,,,,,
Ind,0,0,,,,,,,,,,,,,,,,,,,,,,
Mix,c,c,,,,,,,,,,,,,,,,,,,,,,
PQP,0,0,"# Public/Quasi-Public - schools, hospitals, etc",,,,,,,,,,,,,,,,,,,,,
OS,0,0,,,,,,,,,,,,,,,,,,,,,,
Hotel/Motel,0,0,,,,,,,,,,,,,,,,,,,,,,
Multi-Family Re,0,c,,,,,,,,,,,,,,,,,,,,,,
Cemetary,0,0,,,,,,,,,,,,,,,,,,,,,,
Com/Restaurant,0,0,,,,,,,,,,,,,,,,,,,,,,
Retail and Park,0,0,,,,,,,,,,,,,,,,,,,,,,
CIC,0,0,# Appears to be data centers? Only in San José...,,,,,,,,,,,,,,,,,,,,,
Res/Com Mixed,c,c,,,,,,,,,,,,,,,,,,,,,,
CP,0,0,# gas stations?,,,,,,,,,,,,,,,,,,,,,
